Description,Revenue,units,Customers
  DOORMAT UNION JACK GUNS AND ROSES,620.25,99,25
 3 STRIPEY MICE FELTCRAFT,855.0,464,54
 4 PURPLE FLOCK DINNER CANDLES,342.88,232,21
 50'S CHRISTMAS GIFT BAG LARGE,1631.0,1372,64
 ANIMAL STICKERS,45.57,217,6
 BLACK PIRATE TREASURE CHEST,44.55,27,9
 BROWN  PIRATE TREASURE CHEST ,42.9,26,4
 Bank Charges,15.0,1,1
 CAMPHOR WOOD PORTOBELLO MUSHROOM,28.75,23,4
 CHERRY BLOSSOM  DECORATIVE FLASK,911.1,266,11
 DOLLY GIRL BEAKER,2462.0,2160,73
 FLAMINGO LIGHTS,1211.65,289,23
 HOME SWEET HOME  BLACKBOARD,417.51,69,17
 I LOVE LONDON MINI BACKPACK,1134.45,283,38
 I LOVE LONDON MINI RUCKSACK,4.15,1,1
 IVORY PAPER CUP CAKE CASES ,450.7,1018,14
 LARGE SKULL WINDMILL,12.600000000000001,6,1
 NINE DRAWER OFFICE TIDY,538.4499999999999,37,20
 OVAL WALL MIRROR DIAMANTE ,721.65,88,24
 PAINT YOUR OWN CANVAS SET,158.39999999999998,96,7
 PEACE WOODEN BLOCK LETTERS,388.95,57,16
 RED SPOT GIFT BAG LARGE,1607.25,1353,57
 RED/WHITE DOT MINI CASES,2552.28,348,69
 RIDGED GLASS T-LIGHT HOLDER,102.20000000000002,172,5
 SET 2 TEA TOWELS I LOVE LONDON ,8019.9,2946,111
 SET Of 6 SOLDIER SKITTLES,60.0,16,3
 SILVER CHERRY LIGHTS,357.75,53,14
 SILVER T-LIGHT SETTING,159.15,25,10
 SPACEBOY BABY GIFT SET,5071.7,326,65
 STAR  T-LIGHT HOLDER ,1.45,1,1
 TOADSTOOL BEDSIDE LIGHT ,17.9,2,1
 TRELLIS COAT RACK,818.5500000000001,177,30
 VINTAGE DESIGN GIFT TAGS,178.5,210,16
 WHITE BAMBOO RIBS LAMPSHADE,136.35999999999999,196,5
 WHITE CHERRY LIGHTS,8858.85,1521,89
10 COLOUR SPACEBOY PEN,6487.45,7903,170
11 PC CERAMIC TEA SET POLKADOT,14.850000000000001,3,1
12 ASS ZINC CHRISTMAS DECORATIONS,283.5,135,18
12 COLOURED PARTY BALLOONS,1668.25,2573,103
12 DAISY PEGS IN WOOD BOX,895.9499999999999,543,72
12 EGG HOUSE PAINTED WOOD,3476.42,336,44
12 HANGING EGGS HAND PAINTED,54.08,26,4
12 IVORY ROSE PEG PLACE SETTINGS,2158.58,1798,86
12 MESSAGE CARDS WITH ENVELOPES,2652.0,1680,111
12 MINI TOADSTOOL PEGS,345.0,276,46
12 PENCIL SMALL TUBE WOODLAND,4408.950000000001,6987,171
12 PENCILS SMALL TUBE POSY,222.3,342,29
12 PENCILS SMALL TUBE RED RETROSPOT,4199.1,6542,155
12 PENCILS SMALL TUBE RED SPOTTY,2756.1000000000004,4394,101
12 PENCILS SMALL TUBE SKULL,5254.8,8400,166
12 PENCILS TALL TUBE POSY,1194.9399999999998,3542,92
12 PENCILS TALL TUBE RED RETROSPOT,1849.31,2183,110
12 PENCILS TALL TUBE RED SPOTTY,1193.09,1433,77
12 PENCILS TALL TUBE SKULLS,2144.68,2536,126
12 PENCILS TALL TUBE WOODLAND,2068.5899999999997,2463,121
12 PINK HEN+CHICKS IN BASKET,142.79999999999998,56,21
12 PINK ROSE PEG PLACE SETTINGS,1453.58,1234,51
12 RED ROSE PEG PLACE SETTINGS,1110.88,896,73
15 PINK FLUFFY CHICKS IN BOX,44.25,15,10
15CM CHRISTMAS GLASS BALL 20 LIGHTS,12229.400000000001,1672,160
16 PC CUTLERY SET PANTRY DESIGN,63.8,4,1
16 PIECE CUTLERY SET PANTRY DESIGN,2188.9,158,27
18PC WOODEN CUTLERY SET DISPOSABLE,575.15,487,18
2 DAISIES HAIR COMB,35.400000000000006,12,3
2 PICTURE BOOK EGGS EASTER BUNNY,608.75,619,39
2 PICTURE BOOK EGGS EASTER CHICKS,530.0,556,25
2 PICTURE BOOK EGGS EASTER DUCKS,495.0,528,28
20 DOLLY PEGS RETROSPOT,4454.4800000000005,3652,160
200 BENDY SKULL STRAWS,1200.4,1088,33
200 RED + WHITE BENDY STRAWS,1854.6100000000001,1553,98
24 HANGING EASTER EGGS FLORAL TUB,1685.8500000000001,511,49
3 BIRDS CANVAS SCREEN,2.04,2,2
3 BLACK CATS W HEARTS BLANK CARD,3.2300000000000004,17,2
3 DRAWER ANTIQUE WHITE WOOD CABINET,4928.78,570,99
3 GARDENIA MORRIS BOXED CANDLES,1384.48,508,41
3 HEARTS HANGING DECORATION RUSTIC,16765.71,6021,177
3 HOOK HANGER MAGIC GARDEN,4075.3499999999995,2317,53
3 HOOK PHOTO SHELF ANTIQUE WHITE,16528.22,2394,130
3 PIECE JIGSAW TOADSTOOLS,13.2,8,1
3 PIECE SPACEBOY COOKIE CUTTER SET,4165.240000000001,2100,133
3 PINK HEN+CHICKS IN BASKET,91.1,82,10
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1059.56,1142,75
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,420.95,461,23
3 ROSE MORRIS BOXED CANDLES,1209.35,687,63
3 STRIPEY MICE FELTCRAFT,8568.7,4802,214
3 TIER CAKE TIN GREEN AND CREAM,4811.61,359,75
